chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AMD,2022-01-28,122.0000,call,buy,2022-01-24T15:54:49.203948Z,debit,1.00000,limit,long_call,,1.58000000,1.00000
AMD,2022-01-28,121.0000,call,sell,2022-01-24T15:45:16.552575Z,credit,1.00000,limit,,long_call,1.80000000,1.00000
AMD,2022-01-28,121.0000,call,buy,2022-01-24T15:41:32.582164Z,debit,1.00000,limit,long_call,,1.70000000,1.00000
NIO,2022-02-04,20.0000,put,sell,2022-01-24T14:31:08.000712Z,credit,5.00000,limit,,long_put,0.30000000,5.00000
NIO,2022-02-04,20.0000,put,buy,2022-01-21T20:51:21.542120Z,debit,5.00000,limit,long_put,,0.20000000,5.00000
AAPL,2022-01-28,150.0000,put,sell,2022-01-21T15:27:39.640391Z,credit,1.00000,limit,,long_put,0.90000000,1.00000
AAPL,2022-01-28,150.0000,put,buy,2022-01-21T15:25:15.085322Z,debit,1.00000,limit,long_put,,1.00000000,1.00000
PYPL,2022-01-21,180.0000,call,sell,2022-01-19T14:51:02.914013Z,credit,1.00000,limit,,long_call,1.05000000,1.00000
PYPL,2022-01-21,180.0000,call,buy,2022-01-19T14:41:08.807962Z,debit,1.00000,limit,long_call,,1.12000000,1.00000
WFC,2022-01-21,55.0000,put,sell,2022-01-18T16:35:07.921601Z,credit,8.00000,limit,,long_put,0.20000000,8.00000
WFC,2022-01-21,55.0000,put,buy,2022-01-14T15:41:41.948614Z,debit,2.00000,limit,long_put,,0.19000000,2.00000
WFC,2022-01-21,55.0000,put,buy,2022-01-14T15:39:12.514831Z,debit,1.00000,limit,long_put,,0.19000000,1.00000
WFC,2022-01-21,55.0000,put,buy,2022-01-14T15:15:58.989930Z,debit,2.00000,limit,long_put,,0.24000000,2.00000
WFC,2022-01-21,55.0000,put,buy,2022-01-14T14:38:33.975956Z,debit,1.00000,limit,long_put,,0.33000000,1.00000
WFC,2022-01-21,55.0000,put,buy,2022-01-14T14:35:20.525820Z,debit,1.00000,limit,long_put,,0.33000000,1.00000
WFC,2022-01-21,55.0000,put,buy,2022-01-13T20:16:55.683681Z,debit,1.00000,limit,long_put,,0.86000000,1.00000
SPY,2022-01-14,464.0000,put,sell,2022-01-12T15:55:01.602586Z,credit,1.00000,limit,,long_put,0.90000000,1.00000
SPY,2022-01-14,464.0000,put,buy,2022-01-12T14:44:21.250740Z,debit,1.00000,limit,long_put,,0.82000000,1.00000
TSLA,2022-01-14,1230.0000,call,sell,2022-01-12T14:32:19.617915Z,credit,1.00000,limit,,long_call,0.80000000,1.00000
TSLA,2022-01-14,1230.0000,call,buy,2022-01-11T19:59:15.144090Z,debit,1.00000,limit,long_call,,0.69000000,1.00000
RBLX,2022-01-14,96.0000,call,sell,2022-01-11T14:48:06.540607Z,credit,1.00000,limit,,long_call,0.57000000,1.00000
RBLX,2022-01-14,96.0000,call,buy,2022-01-11T14:44:11.808477Z,debit,1.00000,limit,long_call,,0.50000000,1.00000
LCID,2022-01-14,49.0000,call,sell,2022-01-11T14:41:42.293382Z,credit,2.00000,limit,,long_call,0.25000000,2.00000
LCID,2022-01-14,49.0000,call,buy,2022-01-10T16:33:17.063239Z,debit,2.00000,limit,long_call,,0.46000000,2.00000
LCID,2022-01-14,50.0000,call,sell,2022-01-10T14:51:19.506507Z,credit,2.00000,limit,,long_call,0.39000000,2.00000
LCID,2022-01-14,50.0000,call,buy,2022-01-10T14:46:46.717525Z,debit,2.00000,limit,long_call,,0.32000000,2.00000
AAPL,2022-01-14,160.0000,put,sell,2022-01-10T14:34:03.542480Z,credit,2.00000,limit,,long_put,0.41000000,2.00000
